sender,volume,transfers,avg_value
TXrikVxnocJgoeMHPig4H6phSBkmReMAoj,84501.99900000001,20,4225.099950000001
THXY59df4oxNU25e3FTfUw6wWz3guRAmWe,84000.0,2,42000.0
TGqTuHJXnXjfxpi4kr8qTfL8DJmQPrNi8j,83482.93000000001,9,9275.881111111112
TDK2gmFroLKTTcZa4YhjL3taxoWTg6JUzh,82673.806926,1,82673.806926
TKAGqnraMoPhwWe9XaK4Ata7ykGxibmRpC,81815.0,2,40907.5
TESrnkDZq2R7FLvNTrsrVEuNdgY4cKqdCG,81521.0,2,40760.5
TM7XFGGWyr45MpQP4krFs1MSGEdkyX82Pw,80615.893975,5,16123.178795
TJK99UTpMLcHNanQUiVY88gz1zLuCTdGXi,80232.0,1,80232.0
TLSYDFmzLdjYzeLdhWjokRex3fam5DFbz8,80000.0,4,20000.0
TR7LbKh7tmsQsk4CTdkMM2QXs2gSGZ5Hb1,80000.0,1,80000.0
TSJ4TpyaNNrpStUyAQ3SuEFQmF3YpTx2ou,80000.0,3,26666.666666666668
TUZtveadYEua7peLBuiXqbyHW7aBF8edwj,80000.0,1,80000.0
TFwxWvNeXVjrZZh6MYgSXPjtSVK2ody9TQ,80000.0,1,80000.0
TBKGuW87Mg7HyiCixQZDgrtqac2hNweHzq,79976.0,2,39988.0
TAEfQperHWZfcy24J69ySfRq3LNyQGz6z5,77188.64,15,5145.909333333333
TEoh1YKqYqZymCZK94B6z2AQ5Gbn1d7E8r,77000.0,7,11000.0
TVFJbELgLPW6grN1LYzqWCrGd722uLAmyE,76393.0,1,76393.0
TADbqB5cdSqZ6FTnPe8W4EpBmZUAbu7Bw9,75000.0,3,25000.0
TW9r98tgTUVJavut1jsVtNpK1z63rFnmc4,74994.180143,1,74994.180143
TVy8p6erwrnkkfmvG3iPGpUKswMZU36uMV,74709.0,28,2668.1785714285716
TUk6Tt8UzHUPSLkBCUBK7VTtm97bhacRu7,72838.0,3,24279.333333333332
TM4evuy8MJumT9LrN1JygH3sKE1ZeYq6pU,72818.682902,1,72818.682902
TJ4ppGTCCjPov3UMeffvJuzQdb3M1K9oi3,72215.01000000001,5,14443.002000000002
TNu42KdRtezzKd5iwZAqryyWvudJZW7qZN,72000.0,1,72000.0
TMPJod4ZYj2d6QgYsLjr9M5SG1stJU2A1T,72000.0,1,72000.0
TL9ihHWHkqXd11HFdCtyTx2r6qmVH7cfJg,71426.18289999999,9,7936.2425444444425
TYYNE2DrdAZgdc1djes4QrvzZCoHWVcKea,71393.0,3,23797.666666666668
TDZiHNjB3gDu8Zu23i7HE4M5sPkBcsvPTJ,71351.7961,16,4459.48725625
TM7aTmTAsjgvrvPKX37FVXQsJ7oPwQ4KXp,70286.0,1,70286.0
TFuBhdUDgEc1kRFcCczXSoT2FrCXRFgpLt,70120.0,1,70120.0
TNSQTc7GcT6rG8hxEUtmdAWvzhLpQFS2ka,70000.168002,1,70000.168002
TQhJoyMYJFSXQKg5WkZKadKfZ9HywT66Bi,70000.0,1,70000.0
TGuRrCXmKhRa3uNiYkXL7fPUmG8TLjBujx,70000.0,4,17500.0
TPKacvrzsPRuMAsxU4aQ3vsEUxMeLsAUA6,70000.0,2,35000.0
TPi1zc5dm2oWrVaDcFYYNuFcZVrEGsAaC1,70000.0,1,70000.0
TBa32E1KWALg1Esp7xM5vf2U2ZeHFNyoFY,70000.0,2,35000.0
TMAZYogVP1rqgnuZS8niNm6VNyFkYjpeGj,70000.0,1,70000.0
TP4M7FYaAT9r4FDmnMtHmnEChLcQL33JaM,70000.0,1,70000.0
TN2AYaWKSvGbpz9Ucxfgb9GGpqeZPGXfm9,69900.0,8,8737.5
TD4fYzfYZamaUncBdyCJSfm7AA7pATsLnT,69000.0,1,69000.0
TM7VWjWx519FZjH2vezy6nEnYbEhThk7iP,68500.732599,1,68500.732599
TYqPZprTr21jPVk9r7xN6W8cxY8aYsqyNz,68493.0,1,68493.0
TUrGyBqmmDgZ3Lkm4svNPVJzi94L4BooiY,68312.92416600001,3,22770.974722000003
TB2XAfhSKV7v7hZsx74mXsknouCbJS9m8T,67951.0,3,22650.333333333332
TMqDrZa5kEebg5wi3W3wusVZ6ZF2w6JczH,67693.20999999999,106,638.6151886792452
TQbr5fJqWdSfr2oYBPJLzChKpkGNrLeuvB,66011.0,1,66011.0
TAudU9MPfjBEf9EoVvxEb85yBhZeMkpNzy,66000.0,1,66000.0
