#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
103,TRhiX9QXXFgVc8zXDvaXKmj3bZhoHZUbgb,23000000.016827,23004644.13,0.0003,2024-09-14 01:45:06
104,TLq9ktENPQEuzthazB4iiRubRKcqfYeU3S,22700000.000000,22704583.54,0.0003,2024-04-28 11:01:42
105,TL7d2RZ1pnCe2QEDQE5WsEVZcGrXt6Txbj,22578246.893023,22582805.85,0.0003,2024-09-07 11:40:45
106,TKzL7aSrvhXcBdzNBdRjNk8hPn5nDwR6ci,22082314.514612,22086773.33,0.0003,2024-09-17 07:40:12
107,TVvzSJGkW3UM1C9gkcFB4s2UD27rmUQeB9,22000001.343033,22004443.54,0.0003,2024-09-20 21:41:57
108,TBa6AN2FpQUJs3dnPZemDjFTB82umXQR9G,21547966.000000,21552316.92,0.0003,2023-08-03 08:44:00
109,TQgszwbQHi28Rm6Yy8EJPvWTxPLaRjsusV,21500003.519510,21504344.76,0.0003,2024-09-21 07:46:45
110,TLyqitJgYfP1ctoDzLLTzDZqzLULSGJ6iR,21226729.175791,21231015.24,0.0003,2024-09-21 12:26:27
111,TZ5mDEUYzniCeZfXLp1cic5TgJFL3Edk1n,21000693.014330,21004933.43,0.0003,2024-09-09 12:13:03
112,TSGEXDSRMtzt9swPSgzr8MKefcgEawEdmb,21000600.516059,21004840.92,0.0003,2024-09-20 07:21:36
113,TYpUPtLQ1Y8S2WFjq9m3nLMKpZJezE1jqQ,21000007.882605,21004248.16,0.0003,2024-07-14 12:28:39
114,TJ198MY9TTmN19m2cQVQaEztg2LKuNDUYB,21000002.083592,21004242.36,0.0003,2024-09-17 08:16:39
115,TGojDELFQsXHhEpadAfrbQJMku8bsvmVMs,21000000.021000,21004240.30,0.0003,2024-09-21 10:10:09
116,TYYuvF54NymZQJXbosH9EkXtbBaiAAKbrv,20704934.109273,20709114.81,0.0003,2024-09-21 12:26:03
117,TFcLDs8SWxc4WoaJvk5pXuJd6wuZkG2ZiN,20592631.877666,20596789.90,0.0003,2024-08-07 16:52:18
118,TFkHFKW8x8wn8Mctw6y1ZTZ7xxSEc6DPCL,20488018.618342,20492155.52,0.0003,2024-09-20 16:12:27
119,TD1d4r1Ytxb9HjWubFLSTyHNTMsbuKZquT,20464749.735826,20468881.94,0.0003,2024-09-21 11:59:39
120,TZ8Ksz21Hk1tQuztCKCUJBRXStCav9uyjM,20164502.925665,20168574.50,0.0003,2024-09-21 12:25:33
121,TYQgQ55h5Zw9953Vec9Tpc1w5dga5za7yR,20042636.389786,20046683.36,0.0003,2023-12-07 08:49:12
122,TT8oqGZgiu6w8V9birND5H1g8k7M9AwjrS,20010000.000000,20014040.38,0.0003,2024-06-02 15:20:27
123,TYsUrqzwVo1WZS8FvSixUungEXvUe5gGRh,20000045.000000,20004083.37,0.0003,2024-09-06 11:47:36
124,TSrfN1xWu6uiKGwC7QAxJFkqc1XAXxCnVi,20000010.000000,20004048.36,0.0003,2024-09-03 09:48:36
125,TETkMLen17wav9udMXHeFztN71daJmBhub,20000009.000000,20004047.36,0.0003,2024-02-09 22:15:48
126,TTfEPbcaThf8FjATDPWoUjHPzy5ZtwECfw,20000000.107979,20004038.47,0.0003,2024-07-16 03:33:21
127,TS5F62vCdKfz7Tr5pf26L6PUW3cxP3USyC,20000000.101000,20004038.46,0.0003,2024-09-21 10:26:45
128,TVUkNconSCD6WQN7tYibsj4YN7ABKLap4R,20000000.000000,20004038.36,0.0003,2024-07-04 10:32:03
129,TGszJW1166oJGcyFCGs8bGVeMK1Ey7YUeM,20000000.000000,20004038.36,0.0003,2024-07-12 10:57:54
130,TADKBoNPRtviD6hx8YZ97j3pDLSSaX6Gc6,20000000.000000,20004038.36,0.0003,2024-03-04 07:21:36
131,TXXzSjQ5vFy7d8wtWRy7YSFhNjgdcLEmgJ,19500005.086353,19503942.49,0.0003,2024-08-18 16:14:48
132,TQkdaaqcioUeg2cm7Bxd7PWKmnzBsuUzsg,19302383.990910,19306281.49,0.0003,2024-09-19 00:54:12
133,TVVv7j6kEtemMo89ZS1sZ6Jg54qfcH7s5V,19049117.145565,19052963.51,0.0003,2024-09-21 09:19:42
134,TMvVxpmte4U3ekTDdYXrR2e2MXx2aALyYm,19000000.000000,19003836.44,0.0003,2023-12-27 06:34:48
135,TEWzF5ZsaWMh6sTNDPrYaPJrK8TTMGfwCC,18983160.449188,18986993.49,0.0003,2024-09-21 12:18:27
136,TGM5fZuxEvq3TzReTmfnJwmacMesPbSZL1,18936315.607669,18940139.19,0.0003,2024-09-20 10:16:00
137,TA6SbszfFYC7NYt48viCM9LMD5F5E1Gbi8,18735309.645142,18739092.64,0.0003,2024-09-21 12:17:30
138,TBWQsVsegHuVxwYSAAzWW8uqBrLPhsBjWv,18350580.970561,18354286.28,0.0002,2024-09-19 13:06:45
139,TNGX1Nv1N6WLxF9T71GVCTC1jrhFmMDTDT,18274099.957960,18277789.83,0.0002,2024-09-20 12:27:15
140,TVaRQRPJh3MT3AfGLVZuaTdJL8nd176tpB,18189411.548623,18193084.32,0.0002,2024-09-14 07:52:00
141,TYdpHziFYvn8ngfSKdfBHQ8LoUPN7FJmF7,18074500.413793,18078149.98,0.0002,2024-09-07 06:27:09
142,TT2T17KZhoDu47i2E4FWxfG79zdkEWkU9N,17945353.260956,17948976.75,0.0002,2024-09-20 15:38:03
143,TReCB3c2WvTX4NbtwNLqiCyejLBnewA1q8,17875373.354763,17878982.72,0.0002,2024-09-21 07:03:03
144,TZBobmbHGEb5ndGrbC5CTU5tAuLGvPfEkk,17800000.020001,17803594.16,0.0002,2024-09-20 11:42:15
145,TAq7i8eN4SMzqkdfe3LvDFXQPareaqNwFk,17293137.269431,17296629.07,0.0002,2024-09-04 08:01:33
146,TTJmhArym5u9LyYh1ctp197FXcD7rUj5Ug,17177632.000000,17181100.47,0.0002,2024-06-20 15:29:03
147,TQBqJXbxBTP8m56exeARHKdSY6cToEzMbd,17097457.508157,17100909.79,0.0002,2024-09-20 08:24:54
148,TGqycNDuxcTLswbvUU5657yJJfgTnf5w2s,17000000.000000,17003432.61,0.0002,2024-09-18 09:30:30
149,TXvoszCXvsUasrbw7WU6gjNi4T55PWFiL7,16976449.520000,16979877.37,0.0002,2024-04-07 10:28:03
150,TYVSMqt6uitiktccDSEKykZdHSmTgh7VgH,16972268.000000,16975695.01,0.0002,2023-11-21 12:50:21
151,TWoh54Yhk6iEU2D4E7VW3hmpX9TDLrQEEB,16885575.895598,16888985.40,0.0002,2024-09-20 16:28:36
152,TUNmWkiTanNK8b1mAZLr9Jy84DeM275mxP,16766132.332019,16769517.72,0.0002,2024-09-21 05:33:09
153,TUZpgXZWnm6wy3Dn7MYX6nRTrViiHRL22r,16600000.443600,16603352.28,0.0002,2024-09-20 22:57:03
154,TDuZNCoMSu6ZvNxnuDERSLRK3pFQvr2JM2,16500000.601500,16503332.25,0.0002,2024-02-01 05:14:33
155,TKmiqjVG9jvYd9atx5qwhTRdQBf6rETsSg,16412750.776200,16416064.81,0.0002,2024-09-16 14:44:51
156,TK5foHUCaxQDH3JnQ8r6YTYtT3FLRc5Lj8,16273833.566444,16277119.55,0.0002,2024-08-21 08:43:27
157,TEZcvA2soq7aVJ52rD7X2G78TtF8tiS9Mr,16153926.556934,16157188.33,0.0002,2024-08-21 15:09:12
158,TFEw2AuYQxkvC3EG6SbBmdNYdgB9K3Vo8w,16100000.000000,16103250.88,0.0002,2024-08-13 08:51:30
159,TRkKUWdFgGKTkCrzyCHVgGXxQC2FzTsDSb,16000009.000000,16003239.69,0.0002,2024-08-28 20:34:51
160,TJVuPJ7KWeGiPVd2qh2hmzf4g74dcRvZuT,15823204.000000,15826398.99,0.0002,2024-06-20 15:24:48
161,TNUSzu8VF2sbq4UqCEANKi3a13QCZQUMs7,15606508.000000,15609659.24,0.0002,2024-02-10 12:48:33
162,TTJRGGiAvZRQ46mh6aXNp9JuYk1gL5eLVk,15299951.130687,15303040.47,0.0002,2024-09-19 13:10:30
163,TPwTvjn8fybtRjAwA3Ye9cVkt5LLKjFT6t,15299693.000002,15302782.28,0.0002,2024-08-21 10:05:36
164,TGdWuEvepD7JaHnsQ72c7RXTcKpNj6Wbtr,15280342.226200,15283427.60,0.0002,2024-03-26 09:57:21
165,TEgRru35TtNTsPAmWtCpr6KB7E2TZiTjM3,15242863.000000,15245940.81,0.0002,2023-08-15 20:04:09
166,TLedJNUdU7UVSEDcp9zzsLPfcfBjefBr3v,15000101.601200,15003130.39,0.0002,2023-08-27 13:57:21
167,TWxuuFFkxcg4YmEZnAApXZ8Moy9xWZ78M7,15000008.800000,15003037.57,0.0002,2024-04-26 15:51:33
168,TGcKTBVcYUMufTkoxANTWhEFX1myNzHwQT,15000005.941013,15003034.71,0.0002,2024-09-21 10:43:57
169,TWk47hGsJcMa5Pprr1SsUECB6R95mFCzus,15000000.000000,15003028.77,0.0002,2023-12-01 08:20:57
170,TLC3MViLqKFLX5vbUDihHettokX5HzPXAR,14999071.001000,15002099.58,0.0002,2024-08-12 06:03:33
171,TDyQkKeyxTk1oM6W4i2pnBopVR5WRQwj7e,14989794.906621,14992821.62,0.0002,2024-07-20 15:41:03
172,TSTWJx72bPVYfTYdar6KikWvWyH4dU1aVH,14932687.758119,14935702.94,0.0002,2024-09-20 11:36:30
173,TSk28QcX3RxFutwX1aAHj9EfUHf9f3ahJC,14910000.000000,14913010.60,0.0002,2023-04-05 12:07:54
174,TVREK8UsqPcLBSduj48b6cTzTndZj96PYk,14824505.703764,14827499.04,0.0002,2024-09-21 07:04:15
175,TP8yxF8nWX9ec6stf7J6uURWJpiuqubDV7,14749201.676501,14752179.81,0.0002,2024-05-13 16:46:30
176,TUhuo4LsMriFhcXXuseS8azXgV8nYSnAC6,14713333.748095,14716304.64,0.0002,2024-09-20 09:08:15
177,TShjyyTbzUiRBRy292wJVMNXQ5m8SQnNvN,14651841.876248,14654800.35,0.0002,2024-09-07 20:34:06
178,TDaS6kvtnvS8yDGmvkpJ9vq1NS2bXFwuaY,14436027.758279,14438942.65,0.0002,2024-09-20 19:55:00
179,TVGDpgtCs45PJE7ZMHhiC76L3v77qAwJW9,14376614.645825,14379517.54,0.0002,2024-09-19 14:10:27
180,TGbub2hiUaR7QYgweM8V9TCkLZQX6azATy,14279460.912286,14282344.19,0.0002,2024-09-17 07:22:21
181,TBdpjanYFs51eAYmowtkPinhsx5JoZA4gV,14250000.000000,14252877.33,0.0002,2024-09-19 11:46:57
182,TF1yVgYNJYx8AEtKLhjd2YbLJ33uyWu9Eo,14213650.592751,14216520.58,0.0002,2024-09-20 10:29:51
183,TWUGDcw1RfLDPcoWSmtWXZAbK1JGQDWQrH,14198616.821613,14201483.78,0.0002,2024-08-01 17:17:27
184,TBtjpH1ta5HWuyLPDcfxegVjqDBLtcX4LV,14128032.730659,14130885.43,0.0002,2024-05-04 13:22:48
185,TAaT5r98t5J4sMyfkwWQ9LagLMfFVrHS4C,14121282.095521,14124133.44,0.0002,2024-08-30 08:34:39
186,TUuyrq3amZ3SSSJDPyuUfCRgZvhRG4QLFH,14000000.007695,14002826.86,0.0002,2023-05-14 09:46:30
187,TJJTYydcMRZ7ojNBrj7xyLoG1UcBPZKKfN,13945312.013840,13948127.82,0.0002,2024-09-15 08:28:54
188,TAS4yce3Jh5Rrk94SrViMq9mER3NXkqUXi,13900000.000000,13902806.66,0.0002,2024-06-12 11:39:21
189,TFCxiuu4mLmrXQ6Sj5pnT2nYKkuBBmJ6YN,13827306.867343,13830098.85,0.0002,2024-05-02 15:25:48
190,TJAPFHFVGZtP4UPwChGUurxNEigYFSZe8K,13730901.127000,13733673.64,0.0002,2024-08-05 13:38:15
191,TPzTYsVu5JXhoNJQb6jCGGvXxKyiYvRaxC,13662196.690436,13664955.33,0.0002,2024-09-19 15:45:51
192,TXP66hCnRzRP4ZNbQcNSWcBV4C5JnHK51F,13597984.926286,13600730.60,0.0002,2024-09-18 14:36:51
